user,
Tony Abbott
John Stuart Agnew
Alexandre Aguiar
Arun Ahluwalia
Syun-Ichi Akasofu
Ralph B. Alexander
William JR Alexander
Harry C. Alford
Claude Allègre
Peter Allgeier
Helmut Alt
Klaus Angerer
Martin Armstrong
Scott Armstrong
Bob Armstrong
Jerome Arnett
Ron Arnold
Edward Atkin
August Auer
Dennis Avery
Lawson Bader
Ronald Bailey
Steve Baker
Joe Balash
Sallie Baliunas
Whitney Ball
Timothy F. Ball (Tim Ball)
Arron Banks
George David Banks
Steve Bannon
Jack Barrett
Joseph Bast
Joe Bastardi
Michael Bastasch
Bryan Bateman
Cody Battershill
Charles Battig
Bernard Beauzamy
Calvin Beisner
Larry Bell
David Bellamy (Deceased)
Tim Benson
Reynald Du Berger
Richard Berman
David Bernhardt
James Bethell
Roger Bezdek
Paul Blair
Godfrey Bloom
Sonja Boehmer-Christiansen
Andrew Bolt
John Bolton
Sir Nicholas Bonsor
Christopher Booker (Deceased)
Donald J. Boudreaux
Alexandra Liddy Bourne
Jan Breslow
William Briggs
Barry Brill
Arthur C. Brooks
Evelyn Browning-Garriss
Robert Bryce
Reid Bryson
H. Sterling Burnett
Nigel Calder
Gabriel Calzada
Alan Carlin
Douglas Carswell
Bob Carter
Oren Cass
Mike Catanzaro
Lord Richard Hugh Cavendish
John Charles
Paul Chesser
Sir Christopher Chope
John Christy
Petr Chylek
Ross Clark
Ian Clark
Jeremy Clarkson
Frank Clemente
Roger Cohen
Bonner Cohen
John Coleman
Patrick (Jeff) Condon
Joseph Conklin
John Constable
Russell Cook
Amy Oliver Cooke
Horace Cooper
Paul Copper
Piers Corbyn
Roy Cordato
Vincent Courtillot
Richard S. Courtney
Howard Cox
Kevin Cramer
Susan Crockford
Ken Cuccinelli
Walter Cunningham
Judith Curry
Joseph D’Aleo
Rupert Darwall
Edward David
Philip Davies
David Davies
Robert E. Davis
Donn Dears
Anne Debeil
James Delingpole
David Deming
Vincent DeVito
Betsy DeVos
Peter Dietze
David Dilley
Harold Doiron
Doug Domenech
Lord Bernard Donoughue
David Douglass
Charles Drevna
Paul Driessen
John Droz
Geoffrey Duffy
William A. Dunn
John Dale Dunn
Freeman Dyson
Don Easterbrook
Gregg Easterbrook
Myron Ebell
Gunter Ederer
Francis Egan
Nathalie Elgrably-Levy
Sarah Elliott
Matthew Elliott
Hugh W. Ellsaesser
Natascha Engel
Gary England
Alex Epstein
Joni Ernst
Marcus Ernst
Willis Eschenbach
Robert H. Essenhigh
Christopher Essex
Ray Evans
David Evans
Bruce Everett
Friedrich-Karl Ewert
Nigel Farage
Peter Ferrara
Nick Ferrari
Walter Fett
Chris Fink
Richard Fink
Travis Fisher
Alex Fitzsimmons
Joe Fone
Viv Forbes
Philip Foster
Bob Foster
The Thirteen Foundation
Franklin News Foundation
Michael Fox
Liam Fox
Stewart Franks
Chris de Freitas
Gordon Fulks
Samuele Furfari
Dan Gainor
Kevin Gentry
Jack N. Gerard
Lee C. Gerhard
Gerhard Gerlich
Ivar Giaever
Robert Giegengack
Rudy Giuliani
James K Glassman
Steven Goddard
Michael Goetz
Indur M. Goklany
Fred Goldberg
Stanley Goldenberg
Steve Goreham
Laurence Gould
Michael Gove
C. Boyden Gray
Vincent Gray
William Gray
Kesten Green
Kenneth Green
Andrew Grossman
Ken Haapala
Keith D. Hage
Neil Hamilton
Harold Hamm
Matt Hancock
Daniel Hannan
William Happer
Tom Harris
Julia Hartley-Brewer
Howard Hayden
Steven F. Hayward
Roger Helmer
David R Henderson
David Henderson (Deceased)
Victor Manuel Velasco Herrera
David Herro
Hugh Hewitt
Clay Higgins
John Hinderaker
Michael Hintze
Peter Hitchens
Kate Hoey
Gertrud Höhler
Mark Holden
Derrick Hollie
Jeffrey R. Holmstead
Paul Homewood
Brian Hooks
Katie Hopkins
Art Horn
Chris Horner
Douglas V. Hoyt
Tim Huelskamp
Arthur Middleton Hughes
Anne Idsal
Craig Idso
Sherwood B. Idso
Keith Idso
Life:Powered
Laura Ingraham
James Inhofe
Niger Innis
Roy Innis
Kiminori Itoh
Sherelle Jacobs
Albert Jacobs
Jeff Jacoby
Zbigniew Jaworowski
Boris Johnson
Drew Johnson
Claes Goran Johnson
Alex Jones
Alan Jones
Daniel Jorjani
Roger Pielke Jr.
"Fred L. Smith, Jr."
"Marlo Lewis, Jr."
Robert L. Bradley Jr.
Robert C. Balling Jr.
Wibjorn Karlen
William Kay
Sam Kazman
Richard Keen
Don Keiller
Michael Kelly
Todd Kendall
Phil Kerpen
Madhav Khandekar
Grant Kidwell
William Kininmonth
Charlie Kirk
Gale Klappa
Vaclav Klaus
Chip Knappenberger
Charles Koch
David Koch
Steve Koonin
Gerrit Cornelis van Kooten
Vivian Krause
David Kreutzer
George Kukla
Hans H.J. Labohm
Donna Laframboise
Jim Lakely
Jeff Landry
Chris Landsea
James Lankford
Frank Lasée
Mojib Latif
Nigel Lawson
Dominic Lawson
Ruth Lea
Andrea Leadsom
Douglas Leahey
David Legates
Jay Lehr
Jay H. Lehr
Joe Leimkuhler
Ezra Levant
Corey Lewandowski
Bernie Lewin
Dan Lewis
Rod Liddle
Peter Lilley
Michael Limburg
Richard Lindzen
Gerrit van der Lingen
Richard Littlejohn
John Loeffler
Craig Loehle
Angela Logomasini
Simon Lomax
Bjørn Lomborg
Nicolas Loris
Leon Louw
Horst-Joachim Lüdecke
Sebastian Lüning
Anthony Lupo
Harry MacDougald
Joe Manchin
Augusto Mangini
Jennifer Marohasy
Henri Masson
Mark Mathis
Ryan Maue
Amanda Maxham
Mitch McConnell
Charles D. McConnell
Alister McFarquhar
James McGrath
Steve McIntyre
Mike McKenna
Ross McKitrick
Owen McShane
Esther McVey
Robert Mendelsohn
Rebekah Mercer
Robert Mercer
Patrick Michaels
Fred Michel
Steve Milloy
Mark P. Mills
Nick Minchin
Asmunn Moene
A. Alan Moghissi
Christopher Monckton
Andrew Montford
Stephen Moore
Charles Moore
Patrick Moore
Marc Morano
Terence Mordaunt
Michael Morgan
Nils-Axel Morner (Deceased)
Julian Morris
Wolfgang Müller
Mick Mulvaney
Robert P. Murphy
Iain Murray
Robert Murray
Tad Murty
Todd Myers
Maurice Newman
Rodney Nichols
Jeremy Nicholson
Ned Nikolov
Sean Noble
Jacob Nordangård
Bo Nordell
John Nothdurft
Joanne Nova
William O’Keefe
Michael O’Leary
Brendan O’Neill
John O’Sullivan
Cliff Ollier
Isaac Orr
David H. Padden
Lewis Page
Fred Palmer
Albert Parker
Priti Patel
Owen Paterson
R. Timothy Patterson
Gernot Patzelt
Mikko Paunio
George Pearson
James A. Peden
Benny Peiser
Al Pekarek
Cardinal George Pell
Mike Pence
Rick Perry
Rachelle Peterson
Jordan Peterson
Nancy Pfotenhauer
Tim Phillips
Ben Pile
Ian Plimer
Mike Pompeo
Art Pope
Dennis Prager
Alain Préat
Reince Priebus
Harry N.A. Priem
Andreas Prokoph
Scott Pruitt
Jim Puplava
Thomas Pyle
Richard Rahn
Vijay Kumar Raina
Jim Ratcliffe
Lee Raymond
Neil Record
John Redwood
Annunziata Rees-Mogg
Jacob Rees-Mogg
Josef Reichholf
Paul Reiter
Hubbel Relat
Gordon E. Swaters (had name removed)
Craig Richardson
Peter Ridd
Matt Ridley
Gina Rinehart
Malcolm Roberts
Art Robinson
Norman Rogers
Brooke Rollins
Arthur Rorsch
David Rose
Caleb Rossiter
David Rothbard
Mike Rowe
Craig Rucker
Alan Rudge
Burt Rutan
Anthony J. Sadar
Nicola Scafetta
Rob Scagel
Harrison Schmitt
David Schnare
Joel Schwartz
Tom Segalstad
Naomi Seibt
Barre Seid
Frederick Seitz
Jim Sensenbrenner
Gary D. Sharp
Nir Shaviv
Michael Shellenberger
Robert (Bob) C. Shoup
Paavo Siitam
Daniel Simmons
Joanne Simpson
S. Fred Singer
Shanker Singham
Vaclav Smil
Lamar Smith
L. Graham Smith
Lawrence Solomon
Mike Sommers
Willie Soon
James Spann
Roy Spencer
Sir James Spooner (Deceased)
Roger A. Pielke Sr.
Ronald Stein
Bret Stephens
H. Leighton Steward
Mark Steyn
John Stossel
Graham Stringer
John H. Sununu
Brian Sussman
Henrik Svensmark
Tom Tanton
Roger Tattersall
George Taylor
James Taylor
Tomasz Teluk
Alexander Temerko
Hendrik (Henk) Tennekes
Holger Thuss
Richard Tice
Rex Tillerson
Utz Tillmann
Richard Tol
Donald Trump
Liz Truss
David Tuerck
Fritz Vahrenholt
Brian G. Valentine
Sterling Varner
Jan Veizer
Lord Nigel Vinson
Arthur Viterito
Greg Walcher
James A. Wanliss
Paul Joseph Watson
Anthony Watts
Gerd-Rainer Weber
Werner Weber
Edward Wegman
William Wehrum
Andrew Wheeler
Kathleen Hartnett White
David Whitehouse
Ann Widdecombe
Harry Wilkinson
Farris Wilks
Dan Wilks
George Will
Timothy Williams
Sammy Wilson
Wayne Winegarden
Boris Winterhalter
Bruno Wiskel
David Wojick
Joel Wood
Tim Worstall
Todd Wynn
Thomas Wysmuller
Toby Young
Miklós Zágoni
Karl Zeller
Heather Zichal
Antonino Zichichi
Ryan Zinke
Benjamin Zycher
